,tile,date,variable,value,geometry
0,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.4885452,"POLYGON ((-67.02083333333333 10.562499999999998, -67.01666666666667 10.562499999999998, -67.01666666666667 10.566666666666665, -67.02083333333333 10.566666666666665, -67.02083333333333 10.562499999999998))"
1,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.401819,"POLYGON ((-67.01666666666667 10.562499999999998, -67.0125 10.562499999999998, -67.0125 10.566666666666665, -67.01666666666667 10.566666666666665, -67.01666666666667 10.562499999999998))"
2,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8830479,"POLYGON ((-67.025 10.558333333333332, -67.02083333333334 10.558333333333332, -67.02083333333334 10.562499999999998, -67.025 10.562499999999998, -67.025 10.558333333333332))"
3,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.3094718,"POLYGON ((-67.02083333333333 10.558333333333332, -67.01666666666667 10.558333333333332, -67.01666666666667 10.562499999999998, -67.02083333333333 10.562499999999998, -67.02083333333333 10.558333333333332))"
4,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.0729768,"POLYGON ((-67.01666666666667 10.558333333333332, -67.0125 10.558333333333332, -67.0125 10.562499999999998, -67.01666666666667 10.562499999999998, -67.01666666666667 10.558333333333332))"
5,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.0728192,"POLYGON ((-67.0125 10.558333333333332, -67.00833333333334 10.558333333333332, -67.00833333333334 10.562499999999998, -67.0125 10.562499999999998, -67.0125 10.558333333333332))"
6,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3601651,"POLYGON ((-67.00416666666666 10.558333333333332, -67 10.558333333333332, -67 10.562499999999998, -67.00416666666666 10.562499999999998, -67.00416666666666 10.558333333333332))"
7,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3631573,"POLYGON ((-67 10.558333333333332, -66.99583333333334 10.558333333333332, -66.99583333333334 10.562499999999998, -67 10.562499999999998, -67 10.558333333333332))"
8,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3212534,"POLYGON ((-66.99583333333334 10.558333333333332, -66.99166666666667 10.558333333333332, -66.99166666666667 10.562499999999998, -66.99583333333334 10.562499999999998, -66.99583333333334 10.558333333333332))"
9,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8855742,"POLYGON ((-67.025 10.554166666666665, -67.02083333333334 10.554166666666665, -67.02083333333334 10.558333333333332, -67.025 10.558333333333332, -67.025 10.554166666666665))"
10,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8847785,"POLYGON ((-67.02083333333333 10.554166666666665, -67.01666666666667 10.554166666666665, -67.01666666666667 10.558333333333332, -67.02083333333333 10.558333333333332, -67.02083333333333 10.554166666666665))"
11,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.68169,"POLYGON ((-67.01666666666667 10.554166666666665, -67.0125 10.554166666666665, -67.0125 10.558333333333332, -67.01666666666667 10.558333333333332, -67.01666666666667 10.554166666666665))"
12,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7463132,"POLYGON ((-67.0125 10.554166666666665, -67.00833333333334 10.554166666666665, -67.00833333333334 10.558333333333332, -67.0125 10.558333333333332, -67.0125 10.554166666666665))"
13,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7598683,"POLYGON ((-67.00416666666666 10.554166666666665, -67 10.554166666666665, -67 10.558333333333332, -67.00416666666666 10.558333333333332, -67.00416666666666 10.554166666666665))"
14,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7619997,"POLYGON ((-67 10.554166666666665, -66.99583333333334 10.554166666666665, -66.99583333333334 10.558333333333332, -67 10.558333333333332, -67 10.554166666666665))"
15,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.37241,"POLYGON ((-66.99583333333334 10.554166666666665, -66.99166666666667 10.554166666666665, -66.99166666666667 10.558333333333332, -66.99583333333334 10.558333333333332, -66.99583333333334 10.554166666666665))"
16,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.029707,"POLYGON ((-66.99166666666666 10.554166666666665, -66.9875 10.554166666666665, -66.9875 10.558333333333332, -66.99166666666666 10.558333333333332, -66.99166666666666 10.554166666666665))"
17,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.1261483,"POLYGON ((-67.025 10.549999999999999, -67.02083333333334 10.549999999999999, -67.02083333333334 10.554166666666665, -67.025 10.554166666666665, -67.025 10.549999999999999))"
18,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.0854582,"POLYGON ((-67.02083333333333 10.549999999999999, -67.01666666666667 10.549999999999999, -67.01666666666667 10.554166666666665, -67.02083333333333 10.554166666666665, -67.02083333333333 10.549999999999999))"
19,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.724233,"POLYGON ((-67.01666666666667 10.549999999999999, -67.0125 10.549999999999999, -67.0125 10.554166666666665, -67.01666666666667 10.554166666666665, -67.01666666666667 10.549999999999999))"
20,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8135079,"POLYGON ((-67.0125 10.549999999999999, -67.00833333333334 10.549999999999999, -67.00833333333334 10.554166666666665, -67.0125 10.554166666666665, -67.0125 10.549999999999999))"
21,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7605042,"POLYGON ((-67.00416666666666 10.549999999999999, -67 10.549999999999999, -67 10.554166666666665, -67.00416666666666 10.554166666666665, -67.00416666666666 10.549999999999999))"
22,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7623516,"POLYGON ((-67 10.549999999999999, -66.99583333333334 10.549999999999999, -66.99583333333334 10.554166666666665, -67 10.554166666666665, -67 10.549999999999999))"
23,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.5229025,"POLYGON ((-66.99583333333334 10.549999999999999, -66.99166666666667 10.549999999999999, -66.99166666666667 10.554166666666665, -66.99583333333334 10.554166666666665, -66.99583333333334 10.549999999999999))"
24,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.4827224,"POLYGON ((-66.99166666666666 10.549999999999999, -66.9875 10.549999999999999, -66.9875 10.554166666666665, -66.99166666666666 10.554166666666665, -66.99166666666666 10.549999999999999))"
25,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.6643231,"POLYGON ((-66.9875 10.549999999999999, -66.98333333333333 10.549999999999999, -66.98333333333333 10.554166666666665, -66.9875 10.554166666666665, -66.9875 10.549999999999999))"
26,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.4598616,"POLYGON ((-66.98333333333333 10.549999999999999, -66.97916666666667 10.549999999999999, -66.97916666666667 10.554166666666665, -66.98333333333333 10.554166666666665, -66.98333333333333 10.549999999999999))"
27,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3668233,"POLYGON ((-66.97916666666667 10.549999999999999, -66.97500000000001 10.549999999999999, -66.97500000000001 10.554166666666665, -66.97916666666667 10.554166666666665, -66.97916666666667 10.549999999999999))"
28,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.99125665,"POLYGON ((-66.975 10.549999999999999, -66.97083333333333 10.549999999999999, -66.97083333333333 10.554166666666665, -66.975 10.554166666666665, -66.975 10.549999999999999))"
29,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.66516155,"POLYGON ((-66.92083333333333 10.549999999999999, -66.91666666666667 10.549999999999999, -66.91666666666667 10.554166666666665, -66.92083333333333 10.554166666666665, -66.92083333333333 10.549999999999999))"
30,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6165826,"POLYGON ((-66.91666666666667 10.549999999999999, -66.91250000000001 10.549999999999999, -66.91250000000001 10.554166666666665, -66.91666666666667 10.554166666666665, -66.91666666666667 10.549999999999999))"
31,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8567064,"POLYGON ((-67.02083333333333 10.545833333333333, -67.01666666666667 10.545833333333333, -67.01666666666667 10.549999999999999, -67.02083333333333 10.549999999999999, -67.02083333333333 10.545833333333333))"
32,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.8593553,"POLYGON ((-67.01666666666667 10.545833333333333, -67.0125 10.545833333333333, -67.0125 10.549999999999999, -67.01666666666667 10.549999999999999, -67.01666666666667 10.545833333333333))"
33,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,23.783049,"POLYGON ((-67.0125 10.545833333333333, -67.00833333333334 10.545833333333333, -67.00833333333334 10.549999999999999, -67.0125 10.549999999999999, -67.0125 10.545833333333333))"
34,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,24.687176,"POLYGON ((-67.00833333333334 10.545833333333333, -67.00416666666668 10.545833333333333, -67.00416666666668 10.549999999999999, -67.00833333333334 10.549999999999999, -67.00833333333334 10.545833333333333))"
35,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,8.581283,"POLYGON ((-67.00416666666666 10.545833333333333, -67 10.545833333333333, -67 10.549999999999999, -67.00416666666666 10.549999999999999, -67.00416666666666 10.545833333333333))"
36,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,7.956437,"POLYGON ((-67 10.545833333333333, -66.99583333333334 10.545833333333333, -66.99583333333334 10.549999999999999, -67 10.549999999999999, -67 10.545833333333333))"
37,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,5.3089843,"POLYGON ((-66.99583333333334 10.545833333333333, -66.99166666666667 10.545833333333333, -66.99166666666667 10.549999999999999, -66.99583333333334 10.549999999999999, -66.99583333333334 10.545833333333333))"
38,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3207784,"POLYGON ((-66.99166666666666 10.545833333333333, -66.9875 10.545833333333333, -66.9875 10.549999999999999, -66.99166666666666 10.549999999999999, -66.99166666666666 10.545833333333333))"
39,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.4813977,"POLYGON ((-66.9875 10.545833333333333, -66.98333333333333 10.545833333333333, -66.98333333333333 10.549999999999999, -66.9875 10.549999999999999, -66.9875 10.545833333333333))"
40,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.48557,"POLYGON ((-66.98333333333333 10.545833333333333, -66.97916666666667 10.545833333333333, -66.97916666666667 10.549999999999999, -66.98333333333333 10.549999999999999, -66.98333333333333 10.545833333333333))"
41,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.4268157,"POLYGON ((-66.97916666666667 10.545833333333333, -66.97500000000001 10.545833333333333, -66.97500000000001 10.549999999999999, -66.97916666666667 10.549999999999999, -66.97916666666667 10.545833333333333))"
42,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.1232754,"POLYGON ((-66.975 10.545833333333333, -66.97083333333333 10.545833333333333, -66.97083333333333 10.549999999999999, -66.975 10.549999999999999, -66.975 10.545833333333333))"
43,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7277269,"POLYGON ((-66.97083333333333 10.545833333333333, -66.96666666666667 10.545833333333333, -66.96666666666667 10.549999999999999, -66.97083333333333 10.549999999999999, -66.97083333333333 10.545833333333333))"
44,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7273318,"POLYGON ((-66.9625 10.545833333333333, -66.95833333333334 10.545833333333333, -66.95833333333334 10.549999999999999, -66.9625 10.549999999999999, -66.9625 10.545833333333333))"
45,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.2067239,"POLYGON ((-66.95833333333333 10.545833333333333, -66.95416666666667 10.545833333333333, -66.95416666666667 10.549999999999999, -66.95833333333333 10.549999999999999, -66.95833333333333 10.545833333333333))"
46,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.93773556,"POLYGON ((-66.925 10.545833333333333, -66.92083333333333 10.545833333333333, -66.92083333333333 10.549999999999999, -66.925 10.549999999999999, -66.925 10.545833333333333))"
47,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.9727095,"POLYGON ((-66.92083333333333 10.545833333333333, -66.91666666666667 10.545833333333333, -66.91666666666667 10.549999999999999, -66.92083333333333 10.549999999999999, -66.92083333333333 10.545833333333333))"
48,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.61639243,"POLYGON ((-66.91666666666667 10.545833333333333, -66.91250000000001 10.545833333333333, -66.91250000000001 10.549999999999999, -66.91666666666667 10.549999999999999, -66.91666666666667 10.545833333333333))"
49,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.59176594,"POLYGON ((-66.9125 10.545833333333333, -66.90833333333333 10.545833333333333, -66.90833333333333 10.549999999999999, -66.9125 10.549999999999999, -66.9125 10.545833333333333))"
50,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.33172274,"POLYGON ((-66.90833333333333 10.545833333333333, -66.90416666666667 10.545833333333333, -66.90416666666667 10.549999999999999, -66.90833333333333 10.549999999999999, -66.90833333333333 10.545833333333333))"
